ID,Name,RA1,RA2,RA3,Delta19,Delta2,Delta3,l,b,R_Sun,R_gc,X,Y,Z
NGC 104,47 Tuc,0,24,5.67,-72,4,52.6,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.1
NGC 288,,0,52,45.24,-26,34,57.4,152.3,-89.38,8.9,12,-0.1,0,-8.9
NGC 362,,1,3,14.26,-70,50,55.6,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2
Whiting 1,,2,2,57,-3,15,10,161.22,-60.76,30.1,34.5,-13.9,4.7,-26.3
NGC 1261,,3,12,16.21,-55,12,58.4,270.54,-52.12,16.3,18.1,0.1,-10,-12.9
Pal 1,,3,33,20.04,79,34,51.8,130.06,19.03,11.1,17.2,-6.8,8.1,3.6
AM 1,E 1,3,55,2.3,-49,36,55,258.34,-48.47,123.3,124.6,-16.5,-80.1,-92.3
Eridanus,,4,24,44.5,-21,11,13,218.1,-41.33,90.1,95,-53.2,-41.7,-59.5
Pal 2,,4,46,5.91,31,22,53.4,170.53,-9.07,27.2,35,-26.4,4.4,-4.3
NGC 1851,,5,14,6.76,-40,2,47.6,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9
NGC 1904,M 79,5,24,11.09,-24,31,29,227.23,-29.35,12.9,18.8,-7.7,-8.3,-6.3
NGC 2298,,6,48,59.41,-36,0,19.1,245.63,-16,10.8,15.8,-4.3,-9.4,-3
NGC 2419,,7,38,8.47,38,52,56.8,180.37,25.24,82.6,89.9,-74.7,-0.5,35.2
Ko 2,,7,58,17,26,15,18,195.12,25.54,34.7,41.9,-30.2,-8.2,15
Pyxis,,9,7,57.8,-37,13,17,261.32,7,39.4,41.4,-5.9,-38.7,4.8
NGC 2808,,9,12,3.1,-64,51,48.6,282.19,-11.25,9.6,11.1,2,-9.2,-1.9
E 3,,9,20,57.07,-77,16,54.8,292.27,-19.02,8.1,9.1,2.9,-7.1,-2.6
Pal 3,,10,5,31.9,0,4,18,240.15,41.86,92.5,95.7,-34.3,-59.7,61.7
NGC 3201,,10,17,36.82,-46,24,44.9,277.23,8.64,4.9,8.8,0.6,-4.8,0.7
