
HII region,l,b,# of refs
[L89b] 10.073-00.412,10.1,-0.4,1
[LPH96] 010.068-0.176,10.1,-0.2,1
[WBH98] 18021-1950,10.1,0.8,2
[WC89] 010.10+0.74,10.1,0.7,2
GAL 010.10+00.74,10.1,0.7,3
GAL 010.15-00.34,10.1,-0.3,19
[WC89] 010.15-0.34B,10.1,-0.3,1
[WMG70] 010.2-00.3,10.1,-0.3,1
[WBH98] 18064-2020,10.2,-0.3,2
GAL 010.2-00.3,10.2,-0.3,5
[WC89] 010.15-0.34A,10.2,-0.4,1
[L89b] 10.159-00.349,10.2,-0.3,1
[L89b] 10.190-00.426,10.2,-0.4,1
[L89b] 10.266+00.075,10.3,0.1,1
[WC89] 010.30-0.15B,10.3,-0.2,1
GAL 010.30-00.15,10.3,-0.2,20
[L89b] 10.314-00.262,10.3,-0.3,2
[WBH98] 18060-2005,10.3,-0.2,2
EQ 1806-2005,10.3,-0.2,23
[WC89] 010.30-0.15A,10.3,-0.2,1
GAL 010.44+00.01,10.4,0.0,3
GAL 010.46+00.02,10.5,0.0,8
GAL 010.46+00.03,10.5,0.0,5
GAL 010.47+00.03,10.5,0.0,36
[WBH98] 18056-1952,10.5,0.0,3
[WC89] 010.47+0.03B,10.5,0.0,3
[GRM93] G10.46+0.03 A,10.5,0.0,4
[WC89] 010.47+0.03A,10.5,0.0,3
IRAS 18056-1952,10.5,0.0,28
[GRM93] G10.46+0.03 B,10.5,0.0,2
[WC89] 010.47+0.03B1,10.5,0.0,1
[WC89] 010.47+0.03C,10.5,0.0,3
[GRM93] G10.46+0.03 C,10.5,0.0,2
[WC89] 010.47+0.03B2,10.5,0.0,1
GAL 010.48+00.03,10.5,0.0,2
[LPH96] 010.586-0.035,10.6,0.0,1
GAL 010.61-00.36,10.6,-0.4,1
GAL 010.61-00.37,10.6,-0.4,1
GAL 010.61-00.38,10.6,-0.4,2
[ABG85] 21,10.6,-0.4,29
[HH81] G10.6-0.4 B,10.6,-0.4,0
[HH81] G10.6-0.4 E,10.6,-0.4,0
[HH81] G10.6-0.4 F,10.6,-0.4,0
[HH81] G10.6-0.4 H,10.6,-0.4,0
GAL 010.60-00.40,10.6,-0.4,14
GRS 010.60 -00.40,10.6,-0.4,12
[HH81] G10.6-0.4 A,10.6,-0.4,0
[HH81] G10.6-0.4 C,10.6,-0.4,0
