ID,Period,mV,DeltaV,<V-I>,(V-I),V0
C2,66.2,25.159,0.445,1.296,1.254,24.264
C4,54,25.224,0.857,1.235,1.074,24.446
C5,53.4,25.035,0.655,1.075,0.947,24.64
C6,52,25.221,0.834,0.689,0.674,25.221
C7,50.6,24.758,0.671,0.891,0.868,24.758
C8,50.2,24.981,0.439,0.939,0.881,24.839
C9,50.1,25.886,0.597,0.989,0.947,25.522
C10,50,24.702,0.674,0.899,0.766,24.702
C11,48,25.492,0.828,1.127,0.913,24.953
C12,47.9,25.304,0.778,1.323,1.063,24.435
C13,47,25.483,0.612,1.121,0.911,24.963
C14,46,24.945,0.806,1.023,0.854,24.667
C15,43.8,25.438,0.853,1.075,0.864,24.999
C16,41.8,24.908,0.634,1.086,0.929,24.471
C17,41.7,24.982,0.804,1.139,1.138,24.982
C18,42,25.211,0.958,0.937,0.743,25.05
C19,36.4,25.749,0.787,0.901,0.616,25.749
C21,40.7,25.324,0.787,0.948,0.889,25.068
C22,41.5,25.439,0.687,0.589,0.54,25.439
C23,39.7,25.64,0.657,1.101,0.904,25.106
C24,36.4,25.67,0.915,0.843,0.504,25.67
C25,35.1,25.853,0.392,0.628,0.51,25.853
C26,34.1,25.885,0.779,1.253,1.123,24.997
C27,34.1,26.151,1.137,1.036,0.764,25.709
C28,33.1,25.611,0.353,0.834,0.833,25.611
C31,30.9,25.499,0.672,0.741,0.695,25.499
C32,30.9,26.067,1.197,0.76,0.304,26.067
C33,31.6,25.766,1.412,0.961,0.743,25.378
C34,30.4,26.132,1.308,0.802,0.343,26.132
C35,29.8,26.171,1.09,1.286,1.087,25.061
C36,29.7,25.417,0.675,0.618,0.487,25.417
C37,28.9,26.18,1.015,1.219,1.123,25.236
C38,28.8,25.395,0.721,0.915,0.744,25.346
C39,28.5,26.162,1.026,1.19,0.902,25.371
C40,28.9,26.069,0.786,0.996,0.966,25.559
C41,27.2,24.896,0.633,0.784,0.746,24.896
C42,26.1,25.855,1.069,0.976,0.767,25.494
C43,24.4,25.539,0.928,0.52,0.468,25.539
C45,25.8,25.672,1.08,1.008,0.82,25.223
C46,26,25.336,0.966,0.548,0.332,25.336
C47,25.6,26.153,0.711,1.055,0.885,25.604
C48,24.7,25.961,1.071,1.029,0.682,25.671
C49,24.4,26.3,1.243,1.093,0.749,25.683
C50,25,26.182,1.476,1.069,0.551,25.57
C51,23.9,25.976,1.201,1.009,0.683,25.676
C52,23.4,26.575,0.949,0.804,0.458,26.575
C53,21.9,26.521,1.216,0.941,0.816,26.05
C54,21.3,26.219,1.281,1.088,0.53,25.548
C55,22.5,26.474,0.851,1.118,0.823,25.869
C56,21.3,26.25,1.858,0.766,0.372,26.25
C57,20.2,26.436,0.56,1.246,1.065,25.592
C58,19.9,25.733,1.05,0.587,0.447,25.733
C59,19,25.491,0.96,0.619,0.555,25.491
C60,17.1,26.174,0.855,1.184,1.027,25.337
C62,17.9,26.1,1.374,0.961,0.567,25.788
C63,17.6,26.092,1.213,1.193,0.843,26.092
C64,17.1,25.803,0.787,0.51,0.484,25.803
C65,15.2,25.937,0.729,0.529,0.357,25.937
C66,15.7,26.28,1.121,0.451,0.154,26.28
C67,14.1,26.458,0.774,1.315,1.308,26.458
